EmployeeID;FirstName;LastName;OrgUnitId;EmailWork;EmailPrivate;MobilePhone;StreetAddress;ZipCode;City;Country;StartDate;EndDate;FTEFactor;Location;JobID;IdNumber;IdType;IdCountry;ActiveDirectoryLogin;ManagerID;Gender;DateOfBirth;EmploymentID
111;Marte;Jenssen;161873;marte.jenssen@acmecorp.no;marte.j@example.com;912 34 098;Grønnegata 7;2301;HAMAR;NO;01.10.2019;;1;Hamar;5164103;03079145678;SSN;NO;marte.jenssen@acmecorp.no;110;Female;03.07.1991;E40200011
112;Andreas;Vik;161311;andreas.vic@acmecorp.no;andreas.v@example.com;923 45 109;Ullevålsveien 70;0454;OSLO;NO;01.01.2008;;1;Oslo;5164102;28117256789;SSN;NO;andreas.vik@acmecorp.no;101;Male;28.11.1972;E40200012
113;Camilla;Dahl;161311;camilla.dahl@acmecorp.no;camilla.d@example.com;934 56 210;Bogstadveien 33;0366;OSLO;NO;15.03.2017;;0.6;Oslo;5164102;19068067890;SSN;NO;camilla.dahl@acmecorp.no;101;Female;19.06.1980;E40200013
114;Håkon;Strøm;165200;haakon.strom@acmecorp.no;haakon.s@example.com;945 67 321;Damsgårdsveien 12;5058;BERGEN;NO;01.07.2014;;1;Bergen;2512102;12018978901;SSN;NO;haakon.strom@acmecorp.no;104;Male;12.01.1989;E40200014
115;Julie;Henriksen;161437;julie.henriksen@acmecorp.no;julie.h@example.com;956 78 432;Drammensveien 126;0277;OSLO;NO;01.08.2020;;1;Asker & Bærum;5164102;07039689012;SSN;NO;julie.henriksen@acmecorp.no;108;Female;07.03.1996;E40200015
116;Petter;Nilsen;161873;petter.nilsen@acmecorp.no;petter.n@example.com;967 89 543;Ringgata 15;2319;HAMAR;NO;01.03.2011;;1;Hamar;5164103;31087554321;SSN;NO;petter.nilsen@acmecorp.no;110;Male;31.08.1975;E40200016
117;Sara;Ellingsen;161311;sara.ellingsen@acmecorp.no;sara.e@example.com;978 90 654;Josefines gate 11;0351;OSLO;NO;01.05.2019;;1;Oslo;5164102;26029443210;SSN;NO;sara.ellingsen@acmecorp.no;101;Female;26.02.1994;E40200017
118;Thomas;Borge;165200;thomas.borge@acmecorp.no;thomas.b@example.com;989 01 765;Olav Kyrres gate 9;5014;BERGEN;NO;01.09.2008;;1;Bergen;2512102;;SSN;NO;thomas.borge@acmecorp.no;104;Male;14.05.1970;E40200018
119;Linn;Kristoffersen;161556;linn.kristoffersen@acmecorp.no;linn.k@example.com;990 12 876;Trondheimsveien 2;0560;OSLO;NO;01.11.2016;;0.5;Oslo;5164103;09118276543;SSN;NO;linn.kristoffersen@acmecorp.no;101;Female;09.11.1982;E40200019
120;Jonas;Moen;161437;jonas.moen@acmecorp.no;jonas.m@example.com;901 23 987;Askerveien 61;1384;ASKER;NO;01.04.2022;;1;Asker & Bærum;5164102;22069887654;SSN;NO;jonas.moen@acmecorp.no;108;Male;22.06.1998;E40200020
121;Ida;Svendsen;161873;ida.svendsen@acmecorp.no;ida.s@example.com;912 34 198;Vangsvegen 44;2316;HAMAR;NO;01.06.2013;;1;Hamar;5164103;16038598765;SSN;NO;ida.svendsen@acmecorp.no;110;Female;16.03.1985;E40200021
122;Martin;Brekke;161311;martin.brekke@acmecorp.no;martin.b@example.com;923 45 309;Maridalsveien 87;0461;OSLO;NO;01.02.2015;;1;Oslo;5164102;05116609876;SSN;NO;martin.brekke@acmecorp.no;101;Male;05.11.1966;E40200022
123;Emilie;Wold;165200;emilie.wold@acmecorp.no;emilie.w@example.com;934 56 410;Nordnesveien 6;5005;BERGEN;NO;01.08.2021;;1;Bergen;2512102;29049310987;SSN;NO;emilie.wold@acmecorp.no;104;Female;29.04.1993;E40200023
124;Knut;Aasen;161437;knut.aasen@acmecorp.no;knut.a@example.com;945 67 521;Sandviksveien 35;1363;HØVIK;NO;01.10.2010;;1;Asker & Bærum;5164102;11057721098;SSN;NO;knut.aasen@acmecorp.no;108;Male;11.05.1977;E40200024
125;Vibeke;Hagen;161311;vibeke.hagen@acmecorp.no;vibeke.h@example.com;956 78 632;Skovveien 19;0257;OSLO;NO;01.01.2006;;1;Oslo;5164102;18028432109;SSN;NO;vibeke.hagen@acmecorp.no;101;Female;18.02.1984;E40200025
126;Stein;Halvorsen;161873;stein.halvorsen@acmecorp.no;stein.h@example.com;967 89 743;Furnesvegen 20;2319;HAMAR;NO;01.07.2018;;1;Hamar;5164103;24067143210;SSN;NO;stein.halvorsen@acmecorp.no;110;Male;24.06.1971;E40200026
127;Karoline;Evensen;165200;karoline.evensen@acmecorp.no;karoline.e@example.com;978 90 854;Sandviksveien 50;5035;BERGEN;NO;01.12.2014;;1;Bergen;2512102;03099754321;SSN;NO;karoline.evensen@acmecorp.no;104;Female;03.09.1997;E40200027
128;Trond;Bakken;161311;trond.bakken@acmecorp.no;trond.b@example.com;989 01 965;Grensen 4;0159;OSLO;NO;01.03.2009;;1;Oslo;5164102;07036865432;SSN;NO;trond.bakken@acmecorp.no;101;Male;07.03.1968;E40200028
129;Marianne;Ruud;161437;marianne.ruud@acmecorp.no;marianne.r@example.com;990 12 076;Gamle Drammensvei 22;1369;STABEKK;NO;01.09.2017;;0.8;Asker & Bærum;5164103;21118076543;SSN;NO;marianne.ruud@acmecorp.no;108;Female;21.11.1980;E40200029
130;Henrik;Gulbrandsen;161311;henrik.gulbrandsen@acmecorp.no;henrik.g@example.com;901 23 187;Kirkeveien 100;0364;OSLO;NO;01.05.2023;31.12.2025;1;Oslo;5164102;13048787654;SSN;NO;henrik.gulbrandsen@acmecorp.no;101;Male;13.04.1987;E40200030
